Amplitude_high,Freq_domain,Time_overlap,Stage,Centertime
False,1,False,W,133334148.26465625
False,1,False,W,133350270.33996876
False,1,False,W,133352054.031375
False,1,False,W,133362462.2375
False,1,False,W,133368299.64184375
False,1,False,W,133369954.428
False,1,False,W,133372142.41628125
False,1,False,W,133386296.229875
False,1,False,W,133401258.63621876
False,1,False,W,133406644.8686875
False,1,False,W,133410047.2134375
False,1,False,W,133410699.5571875
False,1,False,W,133418362.15784375
False,1,False,W,133449647.811375
False,1,False,W,133455744.00478125
False,1,False,W,133458671.251875
False,1,False,W,133466119.00778125
False,1,False,W,133479135.1250625
False,1,False,W,133484604.36534375
False,1,False,W,133485368.5255
False,1,False,W,133493692.25796875
False,1,False,W,133497675.65840624
False,1,False,W,133504539.91821875
False,1,False,W,133517828.00815625
False,1,False,W,133533106.82175
False,1,False,W,133543286.02396876
False,1,False,W,133545375.86771876
False,1,False,W,133548222.060125
False,1,False,W,133549955.4595625
False,1,False,W,133555840.2261875
False,1,False,W,133560454.97428125
False,1,False,W,133575856.34646875
False,1,False,W,133591889.0653125
False,1,False,W,133614927.64653125
False,1,False,W,133646886.152625
False,1,False,W,133662958.42325
False,1,False,W,133667533.6195625
False,1,False,W,133670210.86665624
False,1,False,W,133673369.07078125
False,1,False,W,133702250.91571875
False,1,False,W,133708694.765375
False,1,False,W,133715285.5876875
False,1,False,W,133717806.0965
False,1,False,W,133726245.06334375
False,1,False,W,133728306.58778125
False,1,False,W,133735358.34759375
False,1,False,W,133739103.46578126
False,1,False,W,133742882.275375
False,1,False,W,133746504.83596875
False,1,False,W,133767399.37321874
False,2,False,W,133781524.37721875
False,1,False,W,133783154.7493125
False,1,False,W,133787153.28546876
False,1,False,W,133787784.14484376
False,1,False,W,133789406.21615624
False,1,False,W,133795289.5179375
False,1,False,W,133796927.70253125
False,1,False,W,133812462.86378124
False,1,False,W,133840464.82490624
False,1,False,W,133857623.03303126
False,1,False,W,133858652.8191875
False,1,False,W,133862000.4764375
False,1,False,W,133863082.99596874
False,1,False,W,133865119.12978125
False,1,False,W,133888070.30865625
False,1,False,W,133896938.47471875
False,1,False,W,133899041.01478125
False,1,False,W,133910006.83809374
False,1,False,W,133926132.331375
False,1,False,W,133928233.40659375
False,1,False,W,133945450.69675
False,1,False,W,133954212.4185
False,1,False,W,133955109.8794375
False,1,False,W,133973177.75653125
False,1,False,W,133978302.26925
False,1,False,W,133979042.01534376
False,1,False,W,133993371.6101875
False,1,False,W,133993887.72346875
False,1,False,W,133998386.259625
False,1,False,W,134006795.93059374
False,1,False,W,134020066.44240625
False,1,False,W,134024376.99028125
False,1,False,W,134029612.832125
False,1,False,W,134030392.61728124
False,1,False,W,134037625.5294375
False,1,False,W,134039251.01871875
False,1,False,W,134050205.12328126
False,1,False,W,134055709.03153124
False,1,False,W,134059472.70440625
False,1,False,W,134063357.9593125
False,1,False,W,134067871.6331875
False,1,False,W,134083777.39890625
False,1,False,W,134092554.257375
False,1,False,W,134100345.76328126
False,1,False,W,134101865.29553124
False,1,False,W,134102801.3306875
False,1,False,W,134108127.99284375
False,1,False,W,134112850.1618125
False,1,False,W,134118635.80834375
False,1,False,W,134121320.37965626
False,1,False,W,134121969.3054375
False,1,False,W,134129349.19025
False,1,False,W,134134499.582875
False,1,False,W,134137568.43153125
False,1,False,W,134139340.89246875
False,1,False,W,134160302.32525
False,1,False,W,134177637.2911875
False,1,False,W,134179617.27265625
False,1,False,W,134186680.75121875
False,1,False,W,134193955.16728126
False,1,False,W,134199403.41146874
False,1,False,W,134201942.96225
False,1,False,W,134202473.2366875
False,1,False,W,134203708.58825
False,1,False,W,134206448.823625
False,1,False,W,134207665.13221875
False,1,False,W,134213135.3490625
False,1,False,W,134216946.8735
False,1,False,W,134230874.12359375
False,1,False,W,134233858.0113125
False,1,False,W,134235756.93809375
False,1,False,W,134249451.27803126
False,1,False,W,134260773.058375
False,1,False,W,134261304.309375
False,1,False,W,134266572.37678126
False,1,False,W,134267266.71271876
False,1,False,W,134268973.2566875
False,1,False,W,134271489.37096876
False,1,False,W,134273889.76159376
False,1,False,W,134276090.93446875
False,1,False,W,134279006.95109376
False,1,False,W,134279532.34171876
False,2,False,W,134279575.31046876
False,1,False,W,134286255.48825
False,1,False,W,134288048.94628125
False,1,False,W,134288894.161125
False,1,False,W,134290985.959
False,1,False,W,134291800.412125
False,1,False,W,134292361.9355625
False,1,False,W,134296786.25296876
False,1,False,W,134298174.4375625
False,1,False,W,134298876.586
False,1,False,W,134299547.4844375
False,1,False,W,134300445.43365625
False,1,False,W,134301927.36825
False,1,False,W,134304483.52159375
False,1,False,W,134308931.2765
False,1,False,W,134309477.66321874
False,1,False,W,134311069.46109375
False,1,False,W,134311810.67203125
False,1,False,W,134323318.48753124
False,1,False,W,134324062.62915626
False,1,False,W,134324596.80884376
False,1,False,W,134329797.00515625
False,1,False,W,134332147.59209374
False,1,False,W,134344654.43203124
False,1,False,W,134345957.16640624
False,1,False,W,134348047.98771876
False,1,False,W,134349066.054125
False,1,False,W,134352056.2895
False,1,False,W,134357504.04540625
False,1,False,W,134370941.54940626
False,1,False,W,134376648.58265626
False,1,False,W,134378339.98890626
False,1,False,W,134380627.5875625
False,1,False,W,134382893.2135625
False,1,False,W,134383496.24090624
False,1,False,W,134387506.4958125
False,1,False,W,134391211.5749375
False,1,False,W,134392250.14915624
False,1,False,W,134396122.70975
False,1,False,W,134396683.256625
False,1,False,W,134397991.36209375
False,1,False,W,134398631.01053125
False,1,False,W,134400232.08575
False,1,False,W,134409857.57703125
False,1,False,W,134411976.229375
False,1,False,W,134414315.58584374
False,1,False,W,134415514.3173125
False,1,False,W,134417682.2860625
False,1,False,W,134419376.623
False,1,False,W,134424778.96775
False,1,False,W,134426201.33203125
False,1,False,W,134427930.82421875
False,1,False,W,134428455.7275625
False,1,False,W,134429453.28615624
False,1,False,W,134432138.83403125
False,1,False,W,134437823.893625
False,1,False,W,134440859.050875
False,1,False,W,134442582.19640625
False,1,False,W,134448662.27653125
False,1,False,W,134451394.69940624
False,1,False,W,134452602.70721874
False,1,False,W,134453853.68378124
False,1,False,W,134454840.01290625
False,1,False,W,134456037.27853125
False,1,False,W,134458656.9084375
False,1,False,W,134460889.81859374
False,1,False,W,134463210.13209376
False,1,False,W,134466872.24246874
False,1,False,W,134468186.69659376
False,1,False,W,134472625.6624375
False,1,False,W,134474926.93296874
False,1,False,W,134476151.54234374
False,1,False,W,134476672.5384375
False,1,False,W,134478949.39490625
False,1,False,W,134481551.4466875
False,1,False,W,134483452.813875
False,1,False,W,134484586.11565626
False,1,False,W,134488936.70259374
False,1,False,W,134490453.30415624
False,1,False,W,134493073.910625
False,1,False,W,134493907.895
False,1,False,W,134494675.96240625
False,1,False,W,134495646.66553125
False,1,False,W,134496333.67725
False,1,False,W,134501267.76128125
False,1,False,W,134505553.89509374
False,1,False,W,134517991.887375
False,1,False,W,134518941.106125
False,1,False,W,134520888.86103126
False,1,False,W,134521607.12275
False,1,False,W,134525563.1784375
False,1,False,W,134529293.6481875
False,1,False,W,134543620.31334376
False,1,False,W,134547343.458875
False,1,False,W,134548735.0604375
False,1,False,W,134555404.00775
False,1,False,W,134569852.74321875
False,1,False,W,134574289.7559375
False,1,False,W,134574982.62703124
False,1,False,W,134579225.3038125
False,1,False,W,134586292.20134374
False,1,False,W,134605341.03446874
False,1,False,W,134610497.77475
False,1,False,W,134615422.5814375
False,1,False,W,134616365.45253125
False,1,False,W,134619402.074625
False,1,False,W,134625582.7406875
False,1,False,W,134629520.2416875
False,1,False,W,134633190.65284374
False,1,False,W,134636725.3218125
False,1,False,W,134639883.03765625
False,1,False,W,134641398.174375
False,1,False,W,134642710.18709376
False,1,False,W,134650972.88440624
False,1,False,W,134651946.0299375
False,1,False,W,134652757.06509376
False,1,False,W,134654978.2575
False,1,False,W,134665839.10034376
False,1,False,W,134681972.89440626
False,1,False,W,134685287.34853125
False,1,False,W,134686303.4618125
False,1,False,W,134693481.68646875
False,1,False,W,134698403.56346875
False,1,False,W,134700531.49315625
False,1,False,W,134702083.74025
False,1,False,W,134707964.11334375
False,1,False,W,134713325.93075
False,1,False,W,134714393.3145625
False,1,False,W,134716772.2208125
False,1,False,W,134720696.0509375
False,1,False,W,134728254.6466875
False,1,False,W,134729145.75996876
False,1,False,W,134731627.20628124
False,1,False,W,134732317.63596874
False,1,False,W,134735899.1799375
False,1,False,W,134737901.62234375
False,1,False,W,134750879.16540626
False,1,False,W,134759477.3119375
False,1,False,W,134762180.4379375
False,1,False,W,134764446.55221874
False,1,False,W,134773521.26225
False,1,False,W,134774832.7856875
False,1,False,W,134776165.7945
False,1,False,W,134779376.24471876
False,1,False,W,134802806.4275
False,1,False,W,134809101.83965626
False,1,False,W,134812147.73909375
False,1,False,W,134821995.886625
False,1,False,W,134824393.3475625
False,1,False,W,134825777.62590626
False,1,False,W,134831132.11909375
False,1,False,W,134843223.4316875
False,1,False,W,134844850.3848125
False,1,False,W,134846052.04596874
False,1,False,W,134851049.6055625
False,1,False,W,134852612.1065625
False,1,False,W,134856756.15053126
False,1,False,W,134858541.7960625
False,1,False,W,134859240.52653125
False,1,False,W,134860889.4523125
False,1,False,W,134869425.588125
False,1,False,W,134870141.89671874
False,1,False,W,134872418.7531875
False,1,False,W,134873720.02271876
False,1,False,W,134876997.85575
False,1,False,W,134878684.3801875
False,1,False,W,134885305.96421874
False,1,False,W,134886923.64
False,1,False,W,134901419.25046876
False,1,False,W,134909626.28371876
False,1,False,W,134910889.95659375
False,1,False,W,134934242.014375
False,1,False,W,134943394.84940624
False,1,False,W,134952342.6053125
False,1,False,W,134955169.75475
False,1,False,W,134964067.70696875
False,1,False,W,134967417.805625
False,1,False,W,134976246.9101875
False,1,False,W,135016764.98859376
False,1,False,W,135019420.7513125
False,1,False,W,135020608.73959374
False,1,False,W,135041709.8208125
False,1,False,W,135043131.6958125
False,1,False,W,135059969.10315624
False,1,False,W,135062348.01040626
False,1,False,W,135067939.80828124
False,1,False,W,135074485.70871875
False,1,False,W,135088290.8895
False,1,False,W,135094954.954
False,1,False,W,135097453.001875
False,1,False,W,135104675.660125
False,1,False,W,135105816.77340624
False,1,False,W,135122370.0010625
False,1,False,W,135126161.0176875
False,1,False,W,135129129.7686875
False,1,False,W,135129632.698375
False,1,False,W,135133382.699375
False,1,False,W,135148679.09109375
False,1,False,W,135149446.66921875
False,1,False,W,135150319.2288125
False,1,False,W,135152553.6038125
False,1,False,W,135154658.097
False,1,False,W,135155287.9798125
False,2,False,W,135155432.5110625
False,1,False,W,135156024.3079375
False,1,False,W,135156872.94175
False,1,False,W,135157451.55503124
False,1,False,W,135160659.56384376
False,1,False,W,135161415.42321876
False,1,False,W,135162539.44665626
False,1,False,W,135163110.2484375
False,1,False,W,135163876.36171874
False,2,False,W,135163964.740625
False,1,False,W,135164510.15078124
False,1,False,W,135165084.8578125
False,1,False,W,135218940.83184376
False,1,False,W,135232305.5819375
False,1,False,W,135246750.8984375
False,1,False,W,135261696.70421875
False,1,False,W,135290702.0833125
False,1,False,W,135295751.89
False,1,False,W,135307629.8236875
False,1,False,W,135321296.819875
False,1,False,W,135325724.55525
False,1,False,W,135346218.21359375
False,1,False,W,135347325.1481875
False,1,False,W,135350207.9616875
